"reportkey";"gid";"location";"kind";"category";"side";"civcas";"hn_cas";"enemycas";"friendlycas";"lat";"long";"timestamp";"dist_pak";"dist_kabul";"elevation";"population";"lineofsight";"gecon";"pashtun";"hazara"
"772F6536-A1DA-42F1-B1CE-14A91E871AEF";559;"0101000020E6100000F5673F5244F450406666666666C64140";"IED Explosion";"NONE";"ENEMY";3;0;0;0;35.54999924000000;67.81667328000000;"2004-05-23";254.650165558632;166.995019788493;2451.5601;179.06246948;77;0.1735764;0;0
"6594C9DF-848C-4944-AF94-F6A464F9F8E7";603;"0101000020E610000055FB743C66C6504076C3B64599594240";"Attack";"NONE";"ENEMY";0;2;0;0;36.69998932000000;67.09999084000000;"2004-05-28";373.929252944029;304.682519203434;393.04;38955.25781250;460;0.2674469;0;0
"8D36D21C-342E-4EB9-AD49-F4E0C05F675B";614;"0101000020E610000093C6681D55055040787AA52C43843D40";"Other (Hostile Action)";"NONE";"ENEMY";0;1;0;0;29.51664925000000;64.08332061999999;"2004-05-29";9.24421085521136;734.58279342914;1524.4;60.54090118;434;0.0415355;0;0
"130C5693-92AE-4F5C-8CB4-C39B71E07115";622;"0101000020E6100000314278B471405040E960FD9FC3FC4140";"Other (Hostile Action)";"NONE";"ENEMY";0;1;0;0;35.97472000000000;65.00694274999999;"2004-05-30";496.074719497956;410.864989312046;1239.52;1176.31481934;483;0.2030336;0;0
"21C36B1E-85EF-406B-BD31-D3C64F4105A0";633;"0101000020E61000003ECBF3E0EE1E5040105D50DF32F34140";"Ambush";"NONE";"ENEMY";5;0;0;0;35.89999008000000;64.48332977000000;"2004-06-02";536.440490834809;452.460952561536;781.2;132.49142456;281;0.1383386;0;0
"7DCE528E-999A-4DEE-AAAA-02ECFFC88C89";642;"0101000020E6100000DC291DACFF6F5040B79C4B7155554240";"Direct Fire";"NONE";"ENEMY";0;2;0;0;36.66667175000000;65.74997711000000;"2004-06-05";477.407385895004;389.652929979772;353.32;594.69818115;365;0.2583919;0;0
"84D0F358-CAAF-4D16-9CDE-19403F21CDAD";651;"0101000020E61000004C546F0D6C4551400000000000004140";"Indirect Fire";"NONE";"ENEMY";0;1;0;0;34.00000000000000;69.08471680000000;"2004-06-06";72.6665582852498;59.6036157886011;1985.96;847.50097656;139;3.123417;0;0
"846645EA-37EB-44DE-BD21-61A6C0D6BB26";689;"0101000020E610000086AC6EF59C765040A4DFBE0E9C2F4240";"Demonstration";"NONE";"NEUTRAL";0;15;0;0;36.37194824000000;65.85333252000000;"2004-06-11";450.949029974516;363.378658338823;499.44;596.82324219;177;0.2583919;0;0
"A4B93746-6BC6-4481-801B-9D1229C0B14A";717;"0101000020E61000003815A930B6005040C3F5285C8FB64040";"Direct Fire";"NONE";"ENEMY";0;1;0;0;33.42625046000000;64.01112366000000;"2004-06-15";354.497803269968;491.856720021833;1971.36;68.59122467;63;0.0800862;0;0
"510438FD-4CB0-4C96-9107-33FF0644060B";728;"0101000020E610000014D044D8F0DC4F40E960FD9FC3FC4040";"Other (Hostile Action)";"NONE";"ENEMY";0;2;0;0;33.97472000000000;63.72610092000000;"2004-06-16";416.208800497224;504.823344966284;2408.0801;153.61328125;13;0.071558;0;0
