reportkey,gid,location,kind,category,side,civcas,hn_cas,enemycas,friendlycas,lat,long,timestamp,dist_pak,dist_kabul,elevation,population,lineofsight,gecon,pashtun,hazara,matches
1009191,2539,0101000020E6100000603C8386FE475040261E5036E53E4140,Turn In,NONE,ENEMY,,,,,34.49137497,65.12490845,23-08-2005,390.9386649,371.0937849,2291.52,131.1709442,23,0.0918289,0,0,TRUE
1009197,5212,0101000020E6100000B79C4B7155D54E40CDCCCCCCCC8C4140,IED Explosion,NONE,ENEMY,,,,,35.10000229,61.66667175,13-11-2005,585.5333206,688.8454752,766.32,95.01325989,78,0.2608175,0,0,TRUE
558FFB03-E645-401D-A0DB-B4741239DBC7,13,0101000020E61000003815A930B6005040C3F5285C8FB64040,Direct Fire,NONE,ENEMY,0,0,2,0,33.42625046,64.01112366,04-01-2004,354.4978033,491.85672,1971.36,68.59122467,63,0.0800862,0,0,TRUE
E2F0C6C5-EE86-46B3-B819-44F320A05C16,41,0101000020E6100000666666666616504093C6681D55D53F40,Direct Fire,NONE,ENEMY,0,5,0,0,31.83333015,64.34999847,11-01-2004,218.5434611,539.6909903,846.24,564.9232788,432,0.0991347,0,0,TRUE
C72FA4BD-2DC3-41F5-84D0-87D2640D5088,174,0101000020E6100000695721E527215040BB0F406A13CF3F40,IED Explosion,NONE,ENEMY,0,0,0,0,31.80888939,64.51805878,11-02-2004,203.134906,528.3221843,834.76,671.1557617,348,0.0991347,0,0,TRUE
7495B3E5-E640-4D57-B0CE-594B717C8983,182,0101000020E6100000126BF129004050400000000000003F40,Direct Fire,NONE,ENEMY,0,0,0,0,31,65.00000763,14-02-2004,130.9198319,552.9666141,1121.52,180.02211,770,0.1810646,0,0,TRUE
1FC4476A-5406-4E76-864A-E75CA9B84B00,250,0101000020E61000003815A930B6005040C3F5285C8FB64040,Direct Fire,NONE,ENEMY,1,0,0,0,33.42625046,64.01112366,04-03-2004,354.4978033,491.85672,1971.36,68.59122467,63,0.0800862,0,0,TRUE
667BD41A-58EA-4C0A-947C-FE878E968545,303,0101000020E6100000F5673F5244245040D39FFD4811D13F40,Direct Fire,NONE,ENEMY,1,0,0,0,31.81666946,64.56667328,17-03-2004,199.4823119,524.0994234,828.84,671.1557617,286,0.0991347,0,0,TRUE
5CFCD9D0-9A98-47EA-B534-FB366A68672C,558,0101000020E61000007D96E7C1DDAD51407D96E7C1DD1D4140,Direct Fire,NONE,ENEMY,0,0,0,0,34.23332977,70.71665955,23-05-2004,31.3690329,146.4237401,594.64,3085.156738,64,0.6778248,0,0,TRUE
91975D4A-C2A6-436C-9867-9ABE0DCA6F07,390,0101000020E61000003815A930B6005040C3F5285C8FB64040,Direct Fire,NONE,ENEMY,0,0,0,0,33.42625046,64.01112366,11-04-2004,354.4978033,491.85672,1971.36,68.59122467,63,0.0800862,0,0,TRUE
A13D9291-D3E9-4CAA-B899-EEBAEF312DDB,399,0101000020E61000003815A930B6005040C3F5285C8FB64040,Direct Fire,NONE,ENEMY,0,11,0,0,33.42625046,64.01112366,15-04-2004,354.4978033,491.85672,1971.36,68.59122467,63,0.0800862,0,0,TRUE
F7D16D14-6DBE-47D8-ABA2-2D73E5156390,447,0101000020E6100000EE940ED6FF4F51402D6002B7EECE4140,Direct Fire,NONE,ENEMY,0,0,0,0,35.61666107,69.24999237,06-05-2004,181.2690624,120.4602997,1944.76,234.6383362,13,0.4048173,0,0,TRUE
7DCE528E-999A-4DEE-AAAA-02ECFFC88C89,642,0101000020E6100000DC291DACFF6F5040B79C4B7155554240,Direct Fire,NONE,ENEMY,0,2,0,0,36.66667175,65.74997711,05-06-2004,477.4073859,389.65293,353.32,594.6981812,365,0.2583919,0,0,TRUE
33A7520B-71FC-488B-8F6A-A5D66AE564BB,648,0101000020E6100000E42CEC6987C15040F0332E1C08514240,Direct Fire,NONE,ENEMY,0,0,0,0,36.63306046,67.02388763,06-06-2004,379.4572905,303.2736566,423.64,1644.964111,428,0.2674469,0,0,TRUE
93968670-67E6-49CB-ADE2-8D5D7EFAD700,810,0101000020E61000009A99999999214F407F87A2409F1C4140,Direct Fire,NONE,ENEMY,0,1,0,0,34.22360992,62.26250076,01-07-2004,501.1089825,635.7501341,966.56,717.6303101,127,0.2073065,0,0,TRUE
DCFBC0F3-BCEC-4C59-9126-D8436651E0ED,842,0101000020E6100000F5673F5244145040D3C1FA3F87993F40,IED Explosion,NONE,ENEMY,0,0,0,0,31.59972,64.31667328,04-07-2004,211.3409896,557.4728377,786.16,275.4808044,373,0.0991347,0,0,TRUE
3F6D927C-8BE1-4041-AB00-2D2A74E8BE5A,1304,0101000020E6100000E89FE06245CB50400CEA5BE674514240,Direct Fire,NONE,ENEMY,0,0,0,0,36.63637924,67.17610931,08-11-2004,366.0588488,294.9237177,607.24,1737.506714,460,0.2674469,0,0,TRUE
20E5A322-D181-475E-A222-2BDBF39B2E8A,940,0101000020E610000037A6272CF1305040F6285C8FC2F54140,Direct Fire,NONE,ENEMY,0,0,0,0,35.91999817,64.7647171,06-08-2004,513.6998342,429.1613186,871.56,952.7108154,348,0.1383386,0,0,TRUE
2763BC86-B149-490F-9B70-35C714574E4D,978,0101000020E61000006666666666A251407B14AE47E1224140,Direct Fire,NONE,ENEMY,0,1,0,0,34.27249908,70.53749847,08-11-2004,36.41193101,129.3633965,776.16,1355.689819,169,0.6778248,0,0,TRUE
